title,price_idr,duration,location,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,description,facilities,agent_name,updated_by,main_image,image_urls,url
DISEWAKAN VILLA KOLONIAL 3 KAMAR TIDUR DENGAN PEMANDANGAN SAWAH DI CANGGU,Rp 2.250.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,2,550,250,,Rasakan kehidupan tropis klasik di jantung Canggu. Vila bergaya kolonial 3 kamar tidur ini menawarkan kombinasi langka antara pesona abadi dan pemandangan sawah yang menakjubkan. Terletak di lahan seluas 55 Are rumah ini memiliki langit-langit tinggi dan jendela kaca yang mengundang cahaya alami dan pemandangan ke setiap sudut ruang tamu. Dirancang dengan cermat untuk kenyamanan dan relaksasi properti ini memadukan ruang santai dalam ruangan yang elegan dengan taman luar ruangan yang rimbun dan kolam renang sepanjang 9 meter. Terletak di sisi perumahan Padang Linjong yang tenang vila ini menawarkan tempat peristirahatan yang damai sekaligus tetap mudah dijangkau dari kafe dan pantai favorit Canggu. Bagi mereka yang menginginkan kenyamanan maksimal pemilik dapat menyediakan kontrak vila dengan layanan lengkap yang ditangani oleh perusahaan manajemen yang ditunjuk untuk mengelola semua tagihan dan layanan yang dibutuhkan. - Pemandangan & Gaya: Arsitektur kolonial klasik dengan pemandangan sawah. - Ruang Luas: Lahan seluas 550 m² dan bangunan seluas 250 m² dengan desain terbuka dan lapang. - Kenyamanan dalam ruangan: Ruang tamu tertutup yang luas dengan langit-langit tinggi dan perabotan lengkap. - Kehidupan luar ruangan: Kolam renang 9 x 35 meter taman yang luas dan paviliun makan yang teduh. - Tata letak: 3 Kamar tidur 2 Kamar mandi dan tempat parkir pribadi tertutup. - Kepemilikan fleksibel: Tersedia berbagai pilihan jangka waktu sewa yang sesuai dengan kebutuhan Anda. - Sekitar 9 menit ke Pantai Batu Bolong 36 menit ke... ke Echo Beach Pilihan jangka waktu sewa: - 5 tahun: Rp 450.000.000/tahun (Total: Rp 2.250.000.000) - 8 tahun: Rp 425.696.332/tahun (Total: Rp 3.405.570.652) - 12 tahun: Rp 393.342.391/tahun (Total: Rp 4.720.108.696) - 15 tahun: Rp 384.782.609/tahun (Total: Rp 5.771.739.130) - 20 tahun: Rp 371.433.424/tahun (Total: Rp 7.428.668.478) - 25 tahun: Rp 346.793.478/tahun (Total: Rp 8.669.836.957) - 30 tahun: Rp 316.711.957/tahun (Total: Rp 9.501.358.696) (Juga tersedia untuk sewa tahunan mulai dari Rp 500.000.000/tahun),,Luxindo Property,2026-03-09T09:19:49+07:00,https://apollo.olx.co.id/v1/files/69ae2e402799d-ID/image,https://apollo.olx.co.id/v1/files/69ae2e402799d-ID/image | https://apollo.olx.co.id/v1/files/69ae2e40a034f-ID/image | https://apollo.olx.co.id/v1/files/69ae2e40eec1b-ID/image | https://apollo.olx.co.id/v1/files/69ae2e40a9707-ID/image | https://apollo.olx.co.id/v1/files/69ae2e40e8de8-ID/image | https://apollo.olx.co.id/v1/files/69ae2e41c38ee-ID/image | https://apollo.olx.co.id/v1/files/69ae2e412d18a-ID/image | https://apollo.olx.co.id/v1/files/69ae2e423883b-ID/image | https://apollo.olx.co.id/v1/files/69ae2e427ebab-ID/image | https://apollo.olx.co.id/v1/files/69ae2e417cbcc-ID/image | https://apollo.olx.co.id/v1/files/69ae2e4245130-ID/image | https://apollo.olx.co.id/v1/files/69ae2e42b39e4-ID/image | https://apollo.olx.co.id/v1/files/69ae2e43c3562-ID/image | https://apollo.olx.co.id/v1/files/69ae2e432d481-ID/image | https://apollo.olx.co.id/v1/files/69ae2e436c771-ID/image | https://apollo.olx.co.id/v1/files/69ae2e441db6a-ID/image | https://apollo.olx.co.id/v1/files/69ae2e441a8a0-ID/image | https://apollo.olx.co.id/v1/files/69ae2e440af60-ID/image | https://apollo.olx.co.id/v1/files/69ae2e45e88a9-ID/image | https://apollo.olx.co.id/v1/files/69ae2e457b949-ID/image,https://www.olx.co.id/item/disewakan-villa-kolonial-3-kamar-tidur-dengan-pemandangan-sawah-di-canggu-iid-943732424
Villa Modern dengan Pemandangan Sawah Dekat La Brisa dan Pantai Canggu,Rp 250.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,500,500,,Hunian dengan gaya terbuka yang elegan dengan pemandangan sawah yang tenang sekaligus tetap dekat dengan gaya hidup dan pantai Canggu. Villa ini menawarkan kehidupan dalam-luar ruangan yang harmonis cahaya alami dan suasana tropis yang tenang sehingga sangat ideal untuk hunian pribadi. Detail : Luas tanah 500 m² Luas bangunan 300 m² Bangunan 2 lantai Full furnished Ruang tamu & ruang makan terbuka 3 kamar tidur dengan kamar mandi dalam Kolam renang pribadi (35 m x 7 m) 2 kamar tidur staf/sopir + area layanan Listrik 4400 watt Bangunan tahun 2021 Dekat ke : 5 menit ke La Brisa Bali dan Pepito Market Eco Beach 6 menit ke Pantai Canggu dan Bali Social Club - Padel & Wellness 7 menit ke Asta Medical Center 9 menit ke Atlas Beach Club dan Finns Beach Club 17 menit ke Kota Denpasar 45 menit ke Bandara I Gusti Ngurah Rai Harga sewa : Rp. 250 juta / tahun *bisa nego jika masa sewa minimal 2 tahun,,Galaxy Kuta - John Hokky,2026-03-02T10:39:47+07:00,https://apollo.olx.co.id/v1/files/698c2147d26f1-ID/image,https://apollo.olx.co.id/v1/files/698c2147d26f1-ID/image | https://apollo.olx.co.id/v1/files/698c214566915-ID/image | https://apollo.olx.co.id/v1/files/698c214512d92-ID/image | https://apollo.olx.co.id/v1/files/698c21469c272-ID/image | https://apollo.olx.co.id/v1/files/698c2145d2a7f-ID/image | https://apollo.olx.co.id/v1/files/698c21479876d-ID/image | https://apollo.olx.co.id/v1/files/698c2149ee930-ID/image | https://apollo.olx.co.id/v1/files/698c214796649-ID/image | https://apollo.olx.co.id/v1/files/698c21485a61c-ID/image | https://apollo.olx.co.id/v1/files/698c21485d5f6-ID/image | https://apollo.olx.co.id/v1/files/698c214a59d73-ID/image | https://apollo.olx.co.id/v1/files/698c2149eb4da-ID/image | https://apollo.olx.co.id/v1/files/698c214964f9d-ID/image | https://apollo.olx.co.id/v1/files/698c214a3a13d-ID/image | https://apollo.olx.co.id/v1/files/698c214a1fc39-ID/image | https://apollo.olx.co.id/v1/files/698c214a6a1b4-ID/image | https://apollo.olx.co.id/v1/files/698c214b961fd-ID/image,https://www.olx.co.id/item/villa-modern-dengan-pemandangan-sawah-dekat-la-brisa-dan-pantai-canggu-iid-943050668
DISEWAKAN VILLA CANTIK 2 LANTAI DI TUMBAK BAYUH BADUNG,Rp 200.000.000,,Disewakan: Rumah & Apartemen dalam Bali,2,2,110,90,,DISEWAKAN VILLA CANTIK 2 LANTAI DI TUMBAK BAYUH BADUNG DIJUAL Rp. 200 JT perTAHUN MIN SEWA 1 TAHUN LT : 110 M2 LB : 90 M2 SHM VILLA 2 LANTAI ROOFTOP FULL FURNISHED SWIMMING POOL 2.5 M X 6 M R. TAMU DAPUR 2 KAMAR TIDUR 2 KAMAR MANDI LISTRIK 3.500 WATT AIR SUMUR BOR CARPORT 1 CAR AKSES JALAN LINGKUNGAN 4 METER LOKASI STRATEGIS : 5 MENIT KE LOCAL MARKET 15 MENIT KE NUANU LUNA BEACH 10 MENIT KE CANGGU,,Galaxy Kuta,2026-03-07T10:57:43+07:00,https://apollo.olx.co.id/v1/files/69aba235897f4-ID/image,https://apollo.olx.co.id/v1/files/69aba235897f4-ID/image | https://apollo.olx.co.id/v1/files/69aba2358b1f2-ID/image | https://apollo.olx.co.id/v1/files/69aba23553dbc-ID/image | https://apollo.olx.co.id/v1/files/69aba2354aba4-ID/image | https://apollo.olx.co.id/v1/files/69aba2358deed-ID/image | https://apollo.olx.co.id/v1/files/69aba2361ed4f-ID/image | https://apollo.olx.co.id/v1/files/69aba236b5622-ID/image | https://apollo.olx.co.id/v1/files/69aba23775ce4-ID/image | https://apollo.olx.co.id/v1/files/69aba2378f5ab-ID/image,https://www.olx.co.id/item/disewakan-villa-cantik-2-lantai-di-tumbak-bayuh-badung-iid-943689607
VILLA FOR RENT YEARLY UMALAS BUMBAK,Rp 215.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,4,160,200,,AVAILBAE NOW FOR RENT VILLA BUMBAK UMALAS VILLA YEARLY Contak owner Luas tanah : 160 m2 Luas bangunan : 160 SQM 3 bedroom 3 bathroom Living room Dining room Swiming pool Staff room Carport Fully furnished Fasilitas Perlengkapan masak Pemanggang roti Blender Cctv 3 titik Parkir luas WiFi : MTM Kamar masing masing ada tv Price : 230 milion / yearly LOKASI SANGAT NYAMAN +-15 MENIT KE PANTAI BERAWA PANTAI BATU BELIG PANTAI BATU BOLONG LA BRISA FINNS RECREATION CLUB +-15 MENIT KE SEMINYAK DOUBLE SIX BEACH dll langsung kontak ke: (ERIK Gracie umalas,,wyne dharma,2026-03-13T20:46:22+07:00,https://apollo.olx.co.id/v1/files/6917f2ba3bc9f-ID/image,https://apollo.olx.co.id/v1/files/6917f2ba3bc9f-ID/image | https://apollo.olx.co.id/v1/files/6917f2b969cf7-ID/image | https://apollo.olx.co.id/v1/files/6917f2b97e228-ID/image | https://apollo.olx.co.id/v1/files/6917f2b9e0953-ID/image | https://apollo.olx.co.id/v1/files/6917f2b9ee07c-ID/image | https://apollo.olx.co.id/v1/files/6917f2bb94679-ID/image | https://apollo.olx.co.id/v1/files/6917f2ba3ca59-ID/image | https://apollo.olx.co.id/v1/files/6917f2ba1d70c-ID/image | https://apollo.olx.co.id/v1/files/6917f2bb4642e-ID/image | https://apollo.olx.co.id/v1/files/6917f2bce8af1-ID/image | https://apollo.olx.co.id/v1/files/6917f2bc543fc-ID/image | https://apollo.olx.co.id/v1/files/6917f2bc5dbc9-ID/image | https://apollo.olx.co.id/v1/files/6917f2bc615df-ID/image | https://apollo.olx.co.id/v1/files/6917f2bc11fb7-ID/image | https://apollo.olx.co.id/v1/files/6917f2bdc560b-ID/image | https://apollo.olx.co.id/v1/files/6917f2bdacf6e-ID/image | https://apollo.olx.co.id/v1/files/6917f2bddd088-ID/image | https://apollo.olx.co.id/v1/files/6917f2bd08d7a-ID/image | https://apollo.olx.co.id/v1/files/6917f2be27997-ID/image | https://apollo.olx.co.id/v1/files/6917f2be4d913-ID/image,https://www.olx.co.id/item/villa-for-rent-yearly-umalas-bumbak-iid-940722416
4 bedrooms wooden villa for rent,Rp 550.000.000,,Disewakan: Rumah & Apartemen dalam Bali,4,3,400,225,,Wooden Art House with Rice Field View and Private Pool in the Heart of Bali Denis.katarina Nuanu / Tanah Lot / Kedungu / Cemagi all within 57 minutes A space where nature architecture and energy converge. This unique two-story home is built from teak and ironwood featuring artistic design panoramic windows high ceilings and the soulful essence of Bali in every detail. FEATURES:   225 sqm of living space   4 are land   4 bedrooms / 3 bathrooms / 4 toilets   Spacious living room + kitchen   Breathtaking views of rice fields and jungle   Private swimming pool and terrace for sunrise yoga   Air conditioning in every room   Washing machine   Art-house style: custom furniture natural materials peace and air LOCATION: Perfectly balanced location:   5 min to Nuanu Balis creative city of the future   5 min to Tanah Lot Temple   7 min to Kedungu surf beach   5 min to Cemagi   No traffic no noise just you and nature TERMS:   Yearly rent: 550 million IDR   Leasehold for 30 years: 5.2 billion IDR,,RUMAH SAYA-HOME BALI,2026-03-14T02:15:37+07:00,https://apollo.olx.co.id/v1/files/68ce3a938b26f-ID/image,https://apollo.olx.co.id/v1/files/68ce3a938b26f-ID/image | https://apollo.olx.co.id/v1/files/68ce3a934daf0-ID/image | https://apollo.olx.co.id/v1/files/68ce3a933a467-ID/image | https://apollo.olx.co.id/v1/files/68ce3a9347c0d-ID/image | https://apollo.olx.co.id/v1/files/68ce3a932e667-ID/image | https://apollo.olx.co.id/v1/files/68ce3a94c9212-ID/image | https://apollo.olx.co.id/v1/files/68ce3a9430c90-ID/image,https://www.olx.co.id/item/4-bedrooms-wooden-villa-for-rent-iid-934004711
rumah baru gress di Cica posisi pojok lingkungan tenang dan nyaman ready Mei,Rp 75.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,2,100,80,,Dikontrakan Rumah Baru Cica Dalung Bali Details Luas tanah 100 m2 3 Kamar Tidur 2 Kamar Mandi Dapur Ruah cuci Kebun Garase Listriknya 2200 Watt Air sumur bor Lingkungan nyaman rumah paling pojok Harga 75 Juta / Tahun Nett,,Tuit Nensi,2026-03-13T22:01:47+07:00,https://apollo.olx.co.id/v1/files/697a1c46b06ab-ID/image,https://apollo.olx.co.id/v1/files/697a1c46b06ab-ID/image | https://apollo.olx.co.id/v1/files/697a1c4662b9d-ID/image | https://apollo.olx.co.id/v1/files/697a1c465f3fb-ID/image | https://apollo.olx.co.id/v1/files/697a1c46d7717-ID/image | https://apollo.olx.co.id/v1/files/697a1c4634df8-ID/image | https://apollo.olx.co.id/v1/files/697a1c47779c8-ID/image | https://apollo.olx.co.id/v1/files/697a1c47a50ef-ID/image | https://apollo.olx.co.id/v1/files/697a1c48b5fd5-ID/image | https://apollo.olx.co.id/v1/files/697a1c48ad471-ID/image | https://apollo.olx.co.id/v1/files/697a1c481855c-ID/image | https://apollo.olx.co.id/v1/files/697a1c4965ada-ID/image | https://apollo.olx.co.id/v1/files/697a1c4974279-ID/image | https://apollo.olx.co.id/v1/files/697a1c4977bcc-ID/image | https://apollo.olx.co.id/v1/files/697a1c4909d9c-ID/image,https://www.olx.co.id/item/rumah-baru-gress-di-cica-posisi-pojok-lingkungan-tenang-dan-nyaman-ready-mei-iid-942693454
3 unit Villa 2 Kamar sewa panjang 27 tahun sangat terawat review bintang Lima Investasi sangat bagus,Rp 410.000.000,,Disewakan: Rumah & Apartemen dalam Bali,6,9,450,650,,Long Leasehold Comfy Villa Tibubeneng Kuta Utara Badung Consist of 3 Two Bedroom Villa (Villa Complex) Each villa has 2 Bedroom Ensuite Bathroom Land size 450 sqm (4.5 Are) Building 650 sqm Electricity each villa 5500 Kwh Well drill water Total 6 Bedroom & 9 Bathroom Very well maintained Villas Located on dead end road Very nice and peaceful surrounding Fully Furnished Nice Ricefield View Parking for Cars and Motorbikes All the five stars rating reviews from guests Very good investment for long term Global Price IDR 11 Billion (Negotiable) LEASE for remaining 27 Years,,Tuit Nensi,2026-03-13T21:01:27+07:00,https://apollo.olx.co.id/v1/files/697a0b5bac7aa-ID/image,https://apollo.olx.co.id/v1/files/697a0b5bac7aa-ID/image | https://apollo.olx.co.id/v1/files/697a0b5d88c06-ID/image | https://apollo.olx.co.id/v1/files/697a0b5bde3d0-ID/image | https://apollo.olx.co.id/v1/files/697a0b5b2dd13-ID/image | https://apollo.olx.co.id/v1/files/697a0b5cc34a6-ID/image | https://apollo.olx.co.id/v1/files/697a0b5ce7cf4-ID/image | https://apollo.olx.co.id/v1/files/697a0b5d506f0-ID/image | https://apollo.olx.co.id/v1/files/697a0b5eaf3ea-ID/image | https://apollo.olx.co.id/v1/files/697a0b60339e5-ID/image | https://apollo.olx.co.id/v1/files/697a0b60be2ac-ID/image | https://apollo.olx.co.id/v1/files/697a0b5e7d3aa-ID/image | https://apollo.olx.co.id/v1/files/697a0b60f0a4b-ID/image | https://apollo.olx.co.id/v1/files/697a0b615e5e6-ID/image | https://apollo.olx.co.id/v1/files/697a0b628e1a7-ID/image | https://apollo.olx.co.id/v1/files/697a0b626bbe2-ID/image | https://apollo.olx.co.id/v1/files/697a0b635a71e-ID/image,https://www.olx.co.id/item/3-unit-villa-2-kamar-sewa-panjang-27-tahun-sangat-terawat-review-bintang-lima-investasi-sangat-bagus-iid-942691953
2 Bedroom Villa for sale in Kerobokan Bali,Rp 2.000.000.000,,Disewakan: Rumah & Apartemen dalam Bali,2,2,172,90,,This property is a 90 SqM villa with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Kerobokan Bali. You can buy this villa for a base price of Rp2000000000 (Rp22200000/SqM) and it is also available for long term rentals starting from Rp30000000 per month.,,FazWaz Bali,2026-03-13T18:03:46+07:00,https://apollo.olx.co.id/v1/files/699062485521d-ID/image,https://apollo.olx.co.id/v1/files/699062485521d-ID/image | https://apollo.olx.co.id/v1/files/69906247f40c4-ID/image | https://apollo.olx.co.id/v1/files/69906247a2d28-ID/image | https://apollo.olx.co.id/v1/files/69906247e5d52-ID/image | https://apollo.olx.co.id/v1/files/6990624755523-ID/image | https://apollo.olx.co.id/v1/files/699062499caf7-ID/image | https://apollo.olx.co.id/v1/files/69906249ba2e2-ID/image | https://apollo.olx.co.id/v1/files/699062499e719-ID/image | https://apollo.olx.co.id/v1/files/699062496e847-ID/image | https://apollo.olx.co.id/v1/files/6990624901082-ID/image | https://apollo.olx.co.id/v1/files/6990624a9b675-ID/image | https://apollo.olx.co.id/v1/files/6990624b6cf29-ID/image | https://apollo.olx.co.id/v1/files/6990624a4bb42-ID/image | https://apollo.olx.co.id/v1/files/6990624b86ab6-ID/image | https://apollo.olx.co.id/v1/files/6990624ac101a-ID/image | https://apollo.olx.co.id/v1/files/6990624b191b6-ID/image | https://apollo.olx.co.id/v1/files/6990624bbaf55-ID/image | https://apollo.olx.co.id/v1/files/6990624b63d78-ID/image | https://apollo.olx.co.id/v1/files/6990624c99a9c-ID/image | https://apollo.olx.co.id/v1/files/6990624c6461b-ID/image,https://www.olx.co.id/item/2-bedroom-villa-for-sale-in-kerobokan-bali-iid-943141255
2 Bedroom Villa for sale in Kerobokan Bali,Rp 4.750.000.000,,Disewakan: Rumah & Apartemen dalam Bali,2,2,140,140,,This property is a 140 SqM villa with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Kerobokan Bali. You can buy this villa for a base price of Rp4750000000 (Rp33900000/SqM) and it is also available for long term rentals starting from Rp22000000 per month.,,FazWaz Bali,2026-03-13T18:03:26+07:00,https://apollo.olx.co.id/v1/files/699062090bbc6-ID/image,https://apollo.olx.co.id/v1/files/699062090bbc6-ID/image | https://apollo.olx.co.id/v1/files/69906209e84c0-ID/image | https://apollo.olx.co.id/v1/files/6990620927ba4-ID/image | https://apollo.olx.co.id/v1/files/69906209b19bb-ID/image | https://apollo.olx.co.id/v1/files/699062095299a-ID/image | https://apollo.olx.co.id/v1/files/6990620a0ab0d-ID/image | https://apollo.olx.co.id/v1/files/699062098de4f-ID/image | https://apollo.olx.co.id/v1/files/6990620a7c44d-ID/image | https://apollo.olx.co.id/v1/files/6990620958b59-ID/image | https://apollo.olx.co.id/v1/files/6990620a827c6-ID/image | https://apollo.olx.co.id/v1/files/6990620bb7347-ID/image | https://apollo.olx.co.id/v1/files/6990620bf3032-ID/image,https://www.olx.co.id/item/2-bedroom-villa-for-sale-in-kerobokan-bali-iid-943141231
2 Bedroom Villa for rent in Mengwi Bali,Rp 25.000.000,,Disewakan: Rumah & Apartemen dalam Bali,2,2,170,100,,(Minimum 2 Years Lease) 2-Bedroom Lush Villa in Pantai Lima Pererenan!   - 2 bedrooms - 2 Bathrooms - 1 Guest Toilet - Full equipped kitchen (Enclosed) - Living room (Enclosed) - Garden Space - Pool - Bike parking - 2 Meters road access (Bike only) - Villa only exclude services   300 Million per year minimum rent 2 years. Offer price for 3 years and more is available,,FazWaz Bali,2026-03-13T18:02:31+07:00,https://apollo.olx.co.id/v1/files/69b3eec4dcfb3-ID/image,https://apollo.olx.co.id/v1/files/69b3eec4dcfb3-ID/image | https://apollo.olx.co.id/v1/files/69b3eec4b11bb-ID/image | https://apollo.olx.co.id/v1/files/69b3eec46102b-ID/image | https://apollo.olx.co.id/v1/files/69b3eec43949d-ID/image | https://apollo.olx.co.id/v1/files/69b3eec437996-ID/image | https://apollo.olx.co.id/v1/files/69b3eec5c3d32-ID/image | https://apollo.olx.co.id/v1/files/69b3eec51d6e8-ID/image | https://apollo.olx.co.id/v1/files/69b3eec587f04-ID/image | https://apollo.olx.co.id/v1/files/69b3eec69daee-ID/image | https://apollo.olx.co.id/v1/files/69b3eec5507da-ID/image | https://apollo.olx.co.id/v1/files/69b3eec659019-ID/image | https://apollo.olx.co.id/v1/files/69b3eec6e9d5a-ID/image | https://apollo.olx.co.id/v1/files/69b3eec63f0b4-ID/image | https://apollo.olx.co.id/v1/files/69b3eec76e787-ID/image,https://www.olx.co.id/item/2-bedroom-villa-for-rent-in-mengwi-bali-iid-943848415
