title,price_idr,duration,location,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,description,facilities,agent_name,updated_by,main_image,url
3Br Villa For Rent In Umalas | Ip 884,Rp 500.000.000,year,Badung,3,3,800 m²,150 m²,Lainnya,******** Villa Information Land size 800 m² Garage Big garden Open & closed living room Kitchen3 bedrooms + 1 multipurpose room (office / kids room / gym etc.) 3 bathrooms Skate Park Furnished Flat TV Ceiling fan Water filter Safety box Dining bale Refrigerator Wardrobe Security deposit Rp 50.000.000 | Refundable Monthly expenses not included 4 minutes drive to French School 3 minutes drive to Pro Education & CCS School Minutes drive to shops & restaurants Rental Price: Rp 500.000.xxx / year Outdoor Water Tower Water Pump Laundry Place Big Garden Swimming Pool Outdoor Shower Living room Couch Flat TV Ceiling fan Guest toilet Internet broadband Big living room Electric 7700 watt 2 Living rooms Kitchen Equipped Kitchen Dining Table Refrigerator Water Dispenser Stove Bedroom Air con Bed Console table Wardrobe Built in Wardrobe Safety Box Internet broadband Bathroom Water Heater Outdoor Bathroom Toilet Shower Hot water Outdoor bathroom Cold Water,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/696941/4209c604f6b136fe976de3a465b208e2.jpg,https://www.rumah123.com/properti/badung-umalas/3br-villa-for-rent-in-umalas-ip-884-hor41127133/
Batu Bulan Sewa 80Jt Baru Renovasi Siap Huni dan Nyaman,Rp 80.000.000,year,Badung,3,2,,,,Batu Bulan Rumah Sewa Rp 80 Juta/ Tahun Disewakan rumah harga ekonomis hanya 80 juta per tahun. Rumah baru selesai renovasi kondisi bersih rapi dan siap langsung ditempati tanpa perlu perbaikan lagi. ==> Keunggulan rumah: Sirkulasi udara sangat baik rumah terasa sejuk Pencahayaan alami masuk maksimal Suasana nyaman untuk keluarga Lingkungan tenang & aman Cocok untuk: * Pasangan muda * Keluarga kecil * Profesional yang ingin hunian nyaman dengan harga terjangkau Dengan harga 80 juta kondisi rumah seperti ini jarang tersedia lama di pasaran. Hubungi sekarang untuk jadwal survey sebelum keduluan penyewa lain. WA : Linda Property Bali,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2162156/b7726d2d14a40e524b733ebe4d6cb97c.jpg,https://www.rumah123.com/properti/denpasar-denpasar-timur/villa-nyaman-denpasar-timur-semi-furnish-bali-vlr112772/
Rent/ Sewa Big Villa At Cepaka Close To Canggu Kuta Bali,Rp 260.000.000,year,Rent/ Sewa Big Villa At Cepaka Close To Canggu Kuta Bali | vlr218798,5,5,,,,Do 354- For Rent Villa & Shop house at Cepaka Tabanan Bali close To Munggu Canggu Live & Run Your Business in One Place A rare opportunity to live comfortably while running your business seamlessly - all within one integrated property. Villa Specifications - Land size: 350 sqm - Building size: 400 sqm - 5 Bedrooms - 5 Bathrooms - Private swimming pool - Spacious parking area - Large garden and open space Shop House (Ruko) Specifications - Land size: 100 sqm - Building size: 150 sqm - Wide parking area - 1 Bathroom - 1 Office room Why Choose This Property? Perfect for entrepreneurs business owners or professionals seeking a live-work lifestyle without commuting. The villa is directly connected to the shop house offering easy private and efficient access between residential and business spaces. Rental Price Villa only: 260 milion per years Ruko/ Shop only: 100 milion per years Ideal For - Restaurant / Cafe / Co-working Space - Home-based business - Office & residence combination - Boutique showroom or private office - Long-term living and business setup,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1830827/6dc06c8d459a7a40001820850497566b.jpg,https://www.rumah123.com/properti/tabanan-cepaka/rent-sewa-big-villa-at-cepaka-close-to-canggu-kuta-bali-vlr218798/
Rent/ Sewa Villa With Gardent di Canggu Kuta Bali,Rp 155.000.000,year,Rent/ Sewa Villa With Gardent di Canggu Kuta Bali | vlr171393,2,2,,,,Do 164- AVAILABLE VILA IN PADONAN TIBUBENENG CANGGU Only 15 minuts to the Beach ️ Will be ready in oktober Price is 155 mil / year Details - 2 bedroom - ⁠2 bathroom - ⁠Land 230 m2 - ⁠Electricty 5500 watt - ⁠⁠1 storage - ⁠pool size 6m x 3m - ⁠enclosed kitchen and living room - unfurnished - ⁠land size 23 are - ⁠drill water - ⁠parking area,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1830827/ab0cae7c94001a21f87ccd1338e19daa.jpg,https://www.rumah123.com/properti/badung-canggu/rent-sewa-villa-with-gardent-di-canggu-kuta-bali-vlr171393/
For Rent Villa Ready Furnished Best Lokasi View Jungle Near Central Ubud,Rp 235.000.000,year,For Rent Villa Ready Furnished Best Lokasi View Jungle Near Central Ubud | vlr229573,100%,100%,,,,FOR RENT VILLA READY FURNISHED BEST LOKASI VIEW JUNGLE NEAR CENTRAL UBUD FOR RENT VILLA NEW UBUD LOKASI VIEW JUNGLE Luas Tanah : 200 m2 Luas Banguan : 183 m2 Bedroom : 3 Bathroom : 2 Toilet : 2 Fully furnished * Services Provided Services included with your rental : - 24 hour Wi-Fi - Full Furnished Villa - Linens and Bath Towels - Kitchen with Utensils & Cutleries. Other services included - Housekeeping one a week - Linen and towel replacement One a week - Pool Maintenance Once a week (Pool Maintenance frequency could increase depending on the situation and weather) - Landscaping Once a week - The width of the road is 7 meter Price : 235 / Yearly 20 / month,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1790887/49fc91902e1156bddbfa386f59c3c842.jpg,https://www.rumah123.com/properti/gianyar-ubud/for-rent-villa-ready-furnished-best-lokasi-view-jungle-near-central-ubud-vlr229573/
Luxury Villa Furnished With View In Nusa Dua,Rp 425.000.000,year,Badung,3,3,160 m²,280 m²,Lainnya,Luxury furnished villa with full view in a villa complex in Nusa Dua Specifications: - Land area 160m² - Building area 280m² - 3 bedrooms - 3 bathrooms - Private pool 3m x 10m - PDAM water - Owner-paid water supply - Carport - Smart rooms Location: Nusa Dua - 3 minutes to STP Nusa Dua - 6 minutes to Puja Mandala 5 places of worship - 13 minutes to Pandawa Beach - 13 minutes to Mt. Payung - 14 minutes to Geger Beach - 15 minutes to the Bali Mandara toll road - 15 minutes to the BTDC hotel complex - 25 minutes to Ngurah Rai Airport Price: IDR 425 million/year Minimum 1-year lease Includes Wi-Fi and twice-weekly cleaning service Selling point: - Located in the Nusa Dua tourist area - Located in a safe comfortable and quiet villa complex - 24-hour security - No flood area,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1338302/47b3ac875d80c664dadcd4a40e5932c0.jpg,https://www.rumah123.com/properti/badung-nusa-dua/luxury-villa-furnished-with-view-in-nusa-dua-hor40188864/
Villa Pemandangan Sawah Dekat La Brisa dan Pantai Canggu,Rp 250.000.000,year,Villa Pemandangan Sawah Dekat La Brisa dan Pantai Canggu | Rumah123,3,3,500 m²,300 m²,Hak Sewa,Hunian dengan gaya terbuka yang elegan dengan pemandangan sawah yang tenang sekaligus tetap dekat dengan gaya hidup dan pantai Canggu. Villa ini menawarkan kehidupan dalam-luar ruangan yang harmonis cahaya alami dan suasana tropis yang tenang sehingga sangat ideal untuk hunian pribadi. Detail : Luas tanah 500 m² Luas bangunan 300 m² Bangunan 2 lantai Full furnished Ruang tamu & ruang makan terbuka 3 kamar tidur dengan kamar mandi dalam Kolam renang pribadi (35 m x 7 m) 2 kamar tidur staf/sopir + area layanan Listrik 4400 watt Bangunan tahun 2021 Dekat ke : 5 menit ke La Brisa Bali dan Pepito Market Eco Beach 6 menit ke Pantai Canggu dan Bali Social Club - Padel & Wellness 7 menit ke Asta Medical Center 9 menit ke Atlas Beach Club dan Finns Beach Club 17 menit ke Kota Denpasar 45 menit ke Bandara I Gusti Ngurah Rai Harga sewa : Rp. 250 juta / tahun nego,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1605825/aeea4ccfd38ac57961ae5dd5a0a525c1.jpg,https://www.rumah123.com/properti/badung-canggu/villa-modern-dengan-pemandangan-sawah-dekat-la-brisa-dan-pantai-canggu-hor41064311/
2 Bedrooms Villa In Nunggalan Uluwatu,Rp 550.000.000,year,Badung,2,2,,,Lainnya,The villa complex has 9 villas 2 x 2 bedroom villas & 7 1 bedroom villas which are still under construction and will be completed in March 2026. The villa is located in a quiet resort area with ocean views & close to all famous surf break in the Uluwattu area. For more information contact us. Payment for this villa's can be discussed and you can book now for an inspection.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/773307/c8751b4a143d6b6d91b126a0091d42d8.jpg,https://www.rumah123.com/properti/badung-uluwatu/2-bedrooms-villa-in-nunggalan-uluwatu-vlr207393/
3 Bedroom Villa In Jimbaran Bali 1 Minutes Taman Rama Sch,Rp 180.000.000,year,3 Bedroom Villa In Jimbaran Bali 1 Minutes Taman Rama Sch | Rumah123,3,3,120 m²,120 m²,Lainnya,Tropical 3-Bedroom Villa in Jimbaran Bali - For Rent V417 Relax in your private oasis just 3 miles from Jimbaran Beach and 6 miles from Uluwatu. Modern 3BR villa with: ✨ Private pool surrounded by greenery ✨ Cozy outdoor bar & lounge area ✨ Fully equipped kitchen & ensuite bedrooms 15000000 IDR/month Quiet area close to cafés shops & beaches +3069xxxxxxxx Your perfect Bali getaway awaits! Fasilitas Villa: ✨ Kolam renang pribadi dengan taman hijau ✨ Area bar dan lounge outdoor yang nyaman ✨ Dapur lengkap & kamar tidur dengan kamar mandi dalam ✨ Lokasi tenang dekat pantai kafe & toko Harga: 15.000.000 Rupiah per bulan Cocok untuk keluarga pasangan atau pekerja jarak jauh yang mencari tempat tinggal nyaman di Bali! It is a freehold Villa if somebody wants to buy 2.2 billion rupiah Views on Friday after 11 am,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2098658/3567dbbd2ad12979c461e6a2143bcf46.jpg,https://www.rumah123.com/properti/badung-jimbaran/3-bedroom-villa-in-jimbaran-bali-1-minutes-taman-rama-sch-hor40981734/
Drop Price! New Modern Tropical Villa Full Furnished In Jimbaran,Rp 200.000.000,year,Drop Price! New Modern Tropical Villa Full Furnished In Jimbaran | vlr153135,2,3,,,,For Lease Brand New Modern Tropical Villa in Jimbaran Land Size 135 sqm Building size 120 sqm Bedroom 2 Bathroom 3 Electric 4400 watt Living area Dining area Private Pool Fully furnished Garden Carport 2 city car Electricity 4400 Watt Water heater Deepwell water Facing Southest One Gate System Cluster 2 mins to Pepito Supermarket KFC MCD Goemerot 3 mins to Bali Jimbaran Hospital 5 mins to Udayana University 6 mins to Jimbaran Beach 8 mins to Sidewalk Jimbaran 15 mins to Ngurah Rai International Airport Price 220.000.xxx / Yearly 40.000.000 / Monthly deposit security 20 Million,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1495828/c7f03d42c8807b7c8c22e44f98a0c78d.jpg,https://www.rumah123.com/properti/badung-jimbaran/brand-new-modern-tropical-villa-full-furnished-in-jimbaran-vlr153135/
Vila 3 Kamar Fullfurnitur Siap Huni Min 3 Th Sewa,Rp 99.000.000,year,Badung,3,2,,,,Sewa Villa min 3 tahun 99 jt per tahun Pejeng Utara Ubud Luas tanah 2 are Ada 2 bangunan Total 3 kamar tidur 2 kamar mandi Pool SHM PBB LENGKAP Jalan mobil papasan Do Fifi,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1969747/c0e8cb94bf29d24894fc4278b8aa6fdc.png,https://www.rumah123.com/properti/gianyar-ubud/vila-3-kamar-fullfurnitur-siap-huni-min-3-th-sewa-vlr232228/
Brand New Villa In Sanur Walking Distance To The Beach,Rp 225.000.000,year,Brand New Villa In Sanur Walking Distance To The Beach | vlr153142,2,3,,,,For Lease Brand New Modern Tropical Villa in Sanur Land Size 101 sqm Building size 110 sqm Bedroom 2 Bathroom 3 Electric 4400 watt Living area Dining area Private Pool Fully furnished Garden Carport Electricity 4400 Watt Water heater Deepwell water Facing East One Gate System Cluster Lokasi strategis -5 Mins walking to Campuhan Beach -6 Mins Drive to Dyatmika school -10 Mins To Matahari Terbit Port -10 Mins to Padang Galak Beach -10 Mins to Bali international Hospital -12 Mins to Icon Bali Price 245.000.xxx / Yearly 40.000.000 / Monthly deposit security 20 Million,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1495828/734fc1768e3f0327cabcc98af7f67ba1.jpg,https://www.rumah123.com/properti/denpasar-sanur/brand-new-villa-in-sanur-walking-distance-to-the-beach-vlr153142/
